Table of contents,,,,,,,,,,,
"SHS clients, by state/territory, age group and sex, July 2017 to June 2021",,,,,,,,,,,
,,,,,,,,,,,
Month,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National
MAY21,Male,65+ years,278,506,156,100,75,64,25,80,"1,282"
MAY21,Male,All Males,"9,913","12,655","5,560","2,404","2,520","1,168",767,"1,288","36,211"
MAY21,Total,0–4 years,"2,468","2,395","1,541",608,574,111,171,272,"8,136"
MAY21,Total,5–9 years,"2,018","2,262","1,294",453,454,94,171,275,"7,013"
MAY21,Total,10–14 years,"2,024","1,915","1,091",467,420,70,111,346,"6,436"
MAY21,Total,15–17 years,"1,953","1,383",797,412,400,144,134,194,"5,411"
MAY21,Total,18–19 years,"1,681","1,378",676,294,383,183,90,137,"4,813"
MAY21,Total,20–24 years,"3,112","3,185","1,369",585,795,336,179,259,"9,794"
MAY21,Total,25–29 years,"1,840","3,194","1,064",612,581,266,158,246,"7,945"
MAY21,Total,30–34 years,"1,778","3,509","1,178",669,642,245,159,245,"8,398"
MAY21,Total,35–39 years,"1,843","3,535","1,160",744,644,251,173,312,"8,638"
MAY21,Total,40–44 years,"1,735","3,162","1,030",635,517,228,154,267,"7,700"
MAY21,Total,45–49 years,"1,529","2,683",856,453,426,221,114,218,"6,483"
MAY21,Total,50–54 years,"1,150","1,965",638,418,279,157,77,222,"4,899"
MAY21,Total,55–59 years,773,"1,243",406,227,169,106,62,160,"3,140"
MAY21,Total,60–64 years,489,786,238,176,112,77,26,99,"2,001"
MAY21,Total,65+ years,650,"1,184",297,221,135,134,35,136,"2,790"
MAY21,Total,All Ages,"25,043","33,779","13,635","6,974","6,531","2,623","1,814","3,388","93,597"
APR21,Female,0–4 years,"1,257","1,173",719,304,262,51,90,146,"3,999"
APR21,Female,5–9 years,950,"1,074",591,200,212,41,88,128,"3,282"
APR21,Female,10–14 years,"1,075",942,539,203,188,44,61,186,"3,235"
APR21,Female,15–17 years,"1,125",747,444,223,265,89,69,105,"3,063"
APR21,Female,18–19 years,"1,046",828,397,217,230,108,59,107,"2,986"
APR21,Female,20–24 years,"2,049","2,119",928,451,546,205,129,197,"6,607"
APR21,Female,25–29 years,"1,329","2,236",779,472,381,176,105,220,"5,674"
APR21,Female,30–34 years,"1,271","2,496",775,527,460,159,125,191,"5,984"
APR21,Female,35–39 years,"1,247","2,382",772,554,438,148,110,245,"5,876"
APR21,Female,40–44 years,"1,051","1,985",619,416,319,110,90,184,"4,764"
APR21,Female,45–49 years,867,"1,572",506,288,237,87,61,138,"3,746"
APR21,Female,50–54 years,634,"1,135",322,243,154,70,32,100,"2,689"
APR21,Female,55–59 years,410,630,196,137,90,38,24,74,"1,594"
APR21,Female,60–64 years,261,424,113,98,55,24,9,44,"1,024"
APR21,Female,65+ years,358,628,142,108,59,58,9,50,"1,411"
APR21,Female,All Females,"14,930","20,371","7,842","4,441","3,896","1,408","1,061","2,115","55,934"
APR21,Male,0–4 years,"1,264","1,178",755,281,308,56,89,142,"4,071"
APR21,Male,5–9 years,"1,050","1,136",632,240,216,50,80,149,"3,551"
APR21,Male,10–14 years,889,934,510,246,195,29,58,163,"3,021"
APR21,Male,15–17 years,791,600,334,166,147,56,54,82,"2,228"
APR21,Male,18–19 years,585,529,241,101,134,64,32,33,"1,714"
APR21,Male,20–24 years,"1,049","1,015",417,158,240,124,49,54,"3,103"
APR21,Male,25–29 years,503,819,277,129,151,94,51,51,"2,067"
APR21,Male,30–34 years,494,904,337,122,161,77,58,63,"2,209"
APR21,Male,35–39 years,598,"1,004",399,174,210,101,58,70,"2,607"
APR21,Male,40–44 years,627,"1,053",384,180,184,109,60,75,"2,667"
APR21,Male,45–49 years,650,962,375,156,173,111,61,81,"2,560"
APR21,Male,50–54 years,510,759,292,172,138,87,47,109,"2,107"
APR21,Male,55–59 years,363,510,202,101,83,69,39,76,"1,441"
APR21,Male,60–64 years,217,326,124,65,49,37,20,56,893
APR21,Male,65+ years,292,505,135,91,64,57,28,76,"1,247"
APR21,Male,All Males,"9,882","12,234","5,414","2,382","2,453","1,121",784,"1,280","35,486"
APR21,Total,0–4 years,"2,521","2,351","1,474",585,570,107,179,288,"8,070"
APR21,Total,5–9 years,"2,000","2,210","1,223",440,428,91,168,277,"6,833"
APR21,Total,10–14 years,"1,964","1,876","1,049",449,383,73,119,349,"6,256"
APR21,Total,15–17 years,"1,916","1,347",778,389,412,145,123,187,"5,291"
APR21,Total,18–19 years,"1,631","1,357",638,318,364,172,91,140,"4,700"
APR21,Total,20–24 years,"3,098","3,134","1,345",609,786,329,178,251,"9,710"
APR21,Total,25–29 years,"1,832","3,055","1,056",601,532,270,156,271,"7,741"
APR21,Total,30–34 years,"1,765","3,400","1,112",649,621,236,183,254,"8,193"
APR21,Total,35–39 years,"1,845","3,386","1,171",728,648,249,168,315,"8,483"
APR21,Total,40–44 years,"1,678","3,038","1,003",596,503,219,150,259,"7,431"
APR21,Total,45–49 years,"1,517","2,534",881,444,410,198,122,219,"6,306"
APR21,Total,50–54 years,"1,144","1,894",614,415,292,157,79,209,"4,796"
APR21,Total,55–59 years,773,"1,140",398,238,173,107,63,150,"3,035"
APR21,Total,60–64 years,478,750,237,163,104,61,29,100,"1,917"
APR21,Total,65+ years,650,"1,133",277,199,123,115,37,126,"2,658"
APR21,Total,All Ages,"24,812","32,605","13,256","6,823","6,349","2,529","1,845","3,395","91,420"
MAR21,Female,0–4 years,"1,230","1,167",760,318,270,49,86,137,"4,011"
MAR21,Female,5–9 years,945,"1,079",613,223,239,47,83,133,"3,359"
MAR21,Female,10–14 years,"1,057",940,541,211,222,47,61,178,"3,250"
MAR21,Female,15–17 years,"1,116",768,485,245,282,104,66,113,"3,178"
MAR21,Female,18–19 years,"1,039",820,406,213,240,111,59,95,"2,978"
MAR21,Female,20–24 years,"2,089","2,147",930,489,583,210,134,213,"6,775"
MAR21,Female,25–29 years,"1,346","2,310",798,517,405,182,106,199,"5,840"
MAR21,Female,30–34 years,"1,297","2,548",817,580,505,180,137,218,"6,256"
MAR21,Female,35–39 years,"1,269","2,414",768,559,436,154,120,251,"5,949"
MAR21,Female,40–44 years,"1,069","2,036",621,452,353,116,88,169,"4,889"
MAR21,Female,45–49 years,898,"1,612",501,314,233,99,63,156,"3,868"
MAR21,Female,50–54 years,631,"1,120",336,245,165,78,31,113,"2,716"
MAR21,Female,55–59 years,415,643,182,144,93,42,23,84,"1,623"
MAR21,Female,60–64 years,256,397,121,96,51,24,10,50,"1,004"
MAR21,Female,65+ years,341,623,150,117,64,62,8,56,"1,421"
MAR21,Female,All Females,"14,998","20,624","8,029","4,723","4,141","1,505","1,075","2,165","57,117"
MAR21,Male,0–4 years,"1,295","1,165",787,300,324,54,89,148,"4,159"
MAR21,Male,5–9 years,"1,041","1,126",669,243,247,54,75,162,"3,609"
MAR21,Male,10–14 years,882,911,521,273,228,32,56,156,"3,058"
MAR21,Male,15–17 years,768,582,358,158,158,48,55,86,"2,208"
MAR21,Male,18–19 years,598,506,235,103,141,66,37,39,"1,719"
MAR21,Male,20–24 years,"1,063","1,030",400,161,256,127,54,63,"3,151"
MAR21,Male,25–29 years,511,881,279,140,151,98,50,53,"2,153"
MAR21,Male,30–34 years,511,941,339,125,175,91,60,63,"2,298"
MAR21,Male,35–39 years,639,"1,065",429,183,217,110,70,89,"2,792"
MAR21,Male,40–44 years,650,"1,069",393,193,175,115,68,87,"2,743"
MAR21,Male,45–49 years,682,959,372,164,178,112,71,81,"2,608"
MAR21,Male,50–54 years,541,750,289,161,140,78,42,113,"2,108"
MAR21,Male,55–59 years,374,508,212,121,84,69,38,86,"1,488"
MAR21,Male,60–64 years,220,311,108,80,53,38,20,55,885
MAR21,Male,65+ years,292,473,130,85,67,59,30,75,"1,209"
MAR21,Male,All Males,"10,067","12,277","5,521","2,490","2,594","1,151",815,"1,356","36,188"
MAR21,Total,0–4 years,"2,525","2,332","1,547",618,594,103,175,285,"8,170"
MAR21,Total,5–9 years,"1,986","2,205","1,282",466,486,101,158,295,"6,968"
MAR21,Total,10–14 years,"1,939","1,851","1,062",484,450,79,117,334,"6,308"
MAR21,Total,15–17 years,"1,884","1,350",843,403,440,152,121,199,"5,386"
MAR21,Total,18–19 years,"1,637","1,326",641,316,381,177,96,134,"4,697"
MAR21,Total,20–24 years,"3,152","3,177","1,330",650,839,337,188,276,"9,926"
MAR21,Total,25–29 years,"1,857","3,191","1,077",657,556,280,156,252,"7,993"
MAR21,Total,30–34 years,"1,808","3,489","1,156",705,680,271,197,281,"8,554"
MAR21,Total,35–39 years,"1,908","3,479","1,197",742,653,264,190,340,"8,741"
MAR21,Total,40–44 years,"1,719","3,105","1,014",645,528,231,156,256,"7,632"
MAR21,Total,45–49 years,"1,580","2,571",873,478,411,211,134,237,"6,476"
MAR21,Total,50–54 years,"1,172","1,870",625,406,305,156,73,226,"4,824"
MAR21,Total,55–59 years,789,"1,151",394,265,177,111,61,170,"3,111"
MAR21,Total,60–64 years,476,708,229,176,104,62,30,105,"1,889"
MAR21,Total,65+ years,633,"1,096",280,202,131,121,38,131,"2,630"
MAR21,Total,All Ages,"25,065","32,901","13,550","7,213","6,735","2,656","1,890","3,521","93,305"
FEB21,Female,0–4 years,"1,167","1,165",727,291,232,49,89,150,"3,865"
FEB21,Female,5–9 years,900,"1,071",610,219,224,44,83,141,"3,289"
FEB21,Female,10–14 years,"1,000",926,518,192,212,46,58,177,"3,125"
FEB21,Female,15–17 years,"1,095",768,459,236,268,110,64,107,"3,102"
FEB21,Female,18–19 years,988,801,393,201,212,114,52,97,"2,852"
FEB21,Female,20–24 years,"2,025","2,101",879,452,570,214,132,209,"6,565"
FEB21,Female,25–29 years,"1,331","2,227",769,457,398,167,105,200,"5,630"
FEB21,Female,30–34 years,"1,277","2,470",771,504,465,172,133,220,"5,987"
FEB21,Female,35–39 years,"1,242","2,373",728,500,414,148,118,217,"5,721"
FEB21,Female,40–44 years,"1,034","1,984",586,417,331,106,95,159,"4,695"
FEB21,Female,45–49 years,885,"1,530",483,284,223,103,66,143,"3,704"
FEB21,Female,50–54 years,620,"1,096",322,225,153,68,34,103,"2,615"
FEB21,Female,55–59 years,392,658,186,138,91,43,26,77,"1,608"
FEB21,Female,60–64 years,241,403,110,87,45,30,10,51,976
FEB21,Female,65+ years,317,597,140,103,54,55,13,53,"1,331"
FEB21,Female,All Females,"14,514","20,170","7,681","4,306","3,892","1,469","1,078","2,104","55,065"
FEB21,Male,0–4 years,"1,279","1,176",755,259,304,53,94,163,"4,077"
FEB21,Male,5–9 years,997,"1,095",616,250,201,50,75,152,"3,427"
FEB21,Male,10–14 years,862,915,498,233,180,39,59,154,"2,937"
FEB21,Male,15–17 years,707,577,324,147,160,57,52,73,"2,093"
FEB21,Male,18–19 years,585,501,238,97,148,59,37,38,"1,700"
FEB21,Male,20–24 years,"1,053","1,079",384,154,267,120,56,54,"3,160"
FEB21,Male,25–29 years,493,829,273,115,157,88,56,40,"2,044"
FEB21,Male,30–34 years,478,950,315,123,164,89,57,39,"2,208"
FEB21,Male,35–39 years,642,"1,044",421,164,211,110,61,67,"2,711"
FEB21,Male,40–44 years,661,"1,066",377,178,177,118,65,71,"2,706"
FEB21,Male,45–49 years,672,996,375,165,161,114,67,68,"2,612"
FEB21,Male,50–54 years,527,716,281,170,135,73,44,99,"2,038"
FEB21,Male,55–59 years,336,500,200,108,86,68,39,70,"1,405"
FEB21,Male,60–64 years,225,314,110,62,47,37,22,52,866
